lat,lon,hold
42.449995,-71.227200,5
42.449954,-71.226566,5
42.449832,-71.225951,5
42.449634,-71.225374,5
42.449364,-71.224852,5
42.449032,-71.224402,5
42.448647,-71.224037,5
42.448222,-71.223768,5
42.447768,-71.223603,5
42.447300,-71.223548,5
42.446832,-71.223603,5
42.446378,-71.223768,5
42.445953,-71.224037,5
42.445568,-71.224402,5
42.445236,-71.224852,5
42.444966,-71.225374,5
42.444768,-71.225951,5
42.444646,-71.226566,5
42.444605,-71.227200,5
42.444646,-71.227834,5
42.444768,-71.228449,5
42.444966,-71.229026,5
42.445236,-71.229548,5
42.445568,-71.229998,5
42.445953,-71.230363,5
42.446378,-71.230632,5
42.446832,-71.230797,5
42.447300,-71.230852,5
42.447768,-71.230797,5
42.448222,-71.230632,5
42.448647,-71.230363,5
42.449032,-71.229998,5
42.449364,-71.229548,5
42.449634,-71.229026,5
42.449832,-71.228449,5
42.449954,-71.227834,5
