lat,lon,hold
40.449156,-60.000000,5
40.442332,-59.898185,5
40.422068,-59.799463,5
40.388980,-59.706835,5
40.344073,-59.623114,5
40.288712,-59.550844,5
40.224578,-59.492222,5
40.153620,-59.449029,5
40.077995,-59.422577,5
40.000000,-59.413669,5
39.922005,-59.422577,5
39.846380,-59.449029,5
39.775422,-59.492222,5
39.711288,-59.550844,5
39.655927,-59.623114,5
39.611020,-59.706835,5
39.577932,-59.799463,5
39.557668,-59.898185,5
39.550844,-60.000000,5
39.557668,-60.101815,5
39.577932,-60.200537,5
39.611020,-60.293165,5
39.655927,-60.376886,5
39.711288,-60.449156,5
39.775422,-60.507778,5
39.846380,-60.550971,5
39.922005,-60.577423,5
40.000000,-60.586331,5
40.077995,-60.577423,5
40.153620,-60.550971,5
40.224578,-60.507778,5
40.288712,-60.449156,5
40.344073,-60.376886,5
40.388980,-60.293165,5
40.422068,-60.200537,5
40.442332,-60.101815,5
